CH1,CH2,CH3,CH4,CH5,CH6,label,type
41368,40876,41209,41304,40923,41462,0,train
41417,40875,41219,41322,41365,41511,0,train
41388,40840,41217,41342,41616,41515,0,train
41316,40846,41225,41300,41512,41451,0,train
41323,40807,41233,41303,41173,41422,0,train
41325,40764,41228,41320,40898,41432,0,train
41344,40783,41226,41352,40916,41438,0,train
41315,40849,41255,41309,41075,41452,0,train
41310,40835,41245,41297,41171,41443,0,train
41297,40848,41245,41333,41169,41448,0,train
41321,40976,41244,41335,41144,41449,0,train
41348,40930,41254,41347,41137,41443,0,train
41362,40866,41233,41356,41079,41449,0,train
41334,40824,41235,41380,40933,41436,0,train
41313,40844,41230,41308,40842,41454,0,train
41301,40912,41190,41294,40834,41463,0,train
41345,40990,41189,41305,40813,41470,0,train
41362,40932,41195,41337,40835,41467,0,train
41334,40840,41212,41330,41035,41440,0,train
41381,40844,41237,41328,41576,41462,0,train
41410,40902,41235,41326,41742,41488,0,train
41413,40892,41222,41307,41620,41519,0,train
41340,40913,41224,41286,41588,41478,0,train
41298,40899,41224,41323,41380,41463,0,train
41382,40935,41209,41311,41157,41483,0,train
41363,40955,41230,41325,40959,41446,0,train
41303,40996,41223,41330,40822,41420,0,train
41309,40958,41189,41324,40803,41451,0,train
41335,40979,41237,41301,40906,41428,0,train
41328,41036,41239,41278,41007,41427,0,train
41379,40971,41237,41311,41037,41446,0,train
41287,40919,41221,41344,41135,41422,0,train
41263,40950,41225,41347,41164,41456,0,train
41339,40938,41236,41325,40861,41496,0,train
41466,40892,41165,41329,40841,41477,0,train
41476,40894,41177,41306,41329,41509,0,train
41442,40857,41241,41296,41523,41506,0,train
41300,40863,41241,41344,41551,41456,0,train
41261,40850,41261,41403,41539,41428,0,train
41192,40888,41261,41371,41370,41393,0,train
41207,40901,41247,41375,41252,41390,0,train
41301,40840,41254,41400,41147,41432,0,train
41366,40942,41225,41323,40973,41447,0,train
41377,40901,41205,41331,40668,41455,0,train
41322,40865,41222,41358,40647,41439,0,train
41324,40861,41259,41333,41122,41425,0,train
41294,40916,41259,41284,41356,41426,0,train
41314,40951,41272,41303,41357,41446,0,train
41412,40921,41263,41323,41303,41505,0,train
41403,40958,41249,41316,40631,41493,0,train
41394,40952,41188,41336,39845,41506,0,train
41402,40923,41192,41335,40390,41505,0,train
41399,40963,41210,41338,41333,41488,0,train
41317,41001,41236,41319,41894,41488,0,train
41268,41045,41223,41328,41744,41479,0,train
41286,41007,41214,41350,41252,41461,0,train
41294,40992,41240,41311,40978,41431,0,train
41352,40990,41238,41307,40944,41458,0,train
41347,40974,41281,41307,40962,41441,0,train
41311,41036,41268,41309,40968,41435,0,train
41380,41056,41241,41296,40913,41476,0,train
41370,41024,41248,41277,40994,41447,0,train
41416,41006,41224,41320,41138,41457,0,train
41419,40938,41255,41341,41168,41446,0,train
41355,40924,41204,41318,40984,41446,0,train
41353,40950,41187,41339,40885,41469,0,train
41362,40891,41187,41351,40935,41465,0,train
41334,40940,41219,41314,41003,41425,0,train
41345,40873,41211,41331,41132,41463,0,train
41337,40841,41205,41353,41334,41523,0,train
41350,40867,41191,41382,41295,41542,0,train
41367,40915,41229,41342,41187,41480,0,train
41377,40892,41214,41328,41196,41470,0,train
41383,40865,41195,41339,41171,41458,0,train
41285,40896,41213,41315,41140,41408,0,train
41254,40861,41236,41348,41102,41384,0,train
41318,40830,41213,41379,41119,41428,0,train
41297,40856,41190,41339,41185,41436,0,train
41252,40896,41228,41346,41263,41444,0,train
41282,40887,41257,41317,41234,41492,0,train
41302,40876,41248,41339,41138,41478,0,train
41334,40881,41219,41357,41138,41446,0,train
41362,40887,41225,41304,41182,41431,0,train
41333,40898,41228,41306,41207,41435,0,train
41315,40868,41228,41342,41177,41469,0,train
41286,40893,41262,41308,41072,41420,0,train
41284,40909,41255,41296,41080,41431,0,train
41311,40844,41227,41346,40960,41435,0,train
41311,40904,41216,41302,40874,41466,0,train
41288,40913,41241,41291,40901,41454,0,train
41331,40891,41229,41329,40969,41463,0,train
41334,40944,41239,41312,41068,41456,0,train
41328,40937,41203,41278,41170,41452,0,train
41362,40917,41217,41266,41303,41483,0,train
41314,40839,41281,41305,41440,41468,0,train
41277,40857,41242,41305,41254,41445,0,train
