41381,41288,40101,39358,38469,37730,0
41364,41291,40197,39531,38694,37945,0
41271,41290,40240,39619,38832,38099,0
41224,41260,40242,39658,38910,38198,0
41221,41301,40270,39692,38967,38265,0
41200,41380,40329,39740,39017,38315,0
41158,41385,40347,39771,39056,38353,0
41101,41390,40365,39792,39082,38384,0
41186,41352,40350,39792,39095,38403,0
41276,41345,40344,39789,39100,38413,0
41094,41392,40362,39798,39105,38419,0
40976,41430,40391,39820,39121,38430,0
41113,41422,40401,39833,39137,38449,0
41145,41394,40388,39831,39142,38456,0
41049,41359,40375,39824,39138,38456,0
41162,41351,40362,39817,39137,38458,0
41470,41354,40352,39811,39130,38454,0
41716,41308,40326,39794,39125,38454,0
41408,41335,40326,39786,39114,38443,0
41006,41369,40346,39790,39108,38433,0
41131,41365,40364,39806,39120,38443,0
41177,41378,40361,39809,39123,38444,0
40998,41386,40365,39806,39124,38448,0
40909,41392,40374,39817,39129,38452,0
40980,41369,40367,39818,39134,38459,0
41140,41286,40323,39791,39120,38452,0
41173,41301,40315,39775,39107,38444,0
41094,41363,40348,39791,39112,38443,0
41200,41348,40346,39796,39115,38448,0
41356,41296,40317,39782,39111,38448,0
41377,41285,40304,39771,39104,38443,0
41339,41298,40309,39767,39099,38439,0
41295,41271,40296,39757,39090,38433,0
41234,41278,40300,39755,39085,38428,0
41137,41342,40326,39770,39090,38432,0
41068,41366,40354,39795,39111,38447,0
41087,41389,40376,39817,39125,38452,0
41158,41329,40352,39810,39128,38458,0
41124,41373,40368,39818,39134,38461,0
41105,41379,40382,39829,39144,38468,0
41147,41400,40397,39840,39157,38480,0
41087,41354,40365,39826,39153,38480,0
41044,41367,40366,39826,39150,38478,0
40996,41395,40382,39834,39154,38480,0
41026,41395,40391,39843,39159,38488,0
41078,41340,40364,39828,39153,38482,0
41107,41315,40341,39811,39138,38472,0
41100,41377,40366,39820,39142,38474,0
41074,41412,40386,39832,39148,38480,0
41052,41406,40393,39841,39155,38481,0
40982,41396,40390,39842,39158,38483,0
40996,41374,40375,39835,39153,38480,0
41034,41358,40369,39828,39152,38478,0
41074,41326,40341,39808,39138,38472,0
41050,41314,40339,39798,39128,38463,0
41021,41337,40338,39791,39124,38462,0
41007,41340,40338,39796,39120,38457,0
41013,41350,40346,39796,39120,38456,0
41101,41324,40337,39791,39118,38454,0
41194,41292,40316,39780,39109,38450,0
41226,41291,40311,39774,39102,38446,0
41276,41284,40308,39770,39094,38430,0
41354,41289,40313,39772,39096,38436,0
41312,41292,40312,39770,39098,38437,0
41262,41344,40333,39783,39102,38437,0
41536,41317,40329,39790,39110,38445,0
41697,41200,40262,39755,39094,38438,0
41498,41135,40201,39704,39058,38413,0
41268,41216,40226,39699,39042,38399,0
41219,41304,40283,39735,39060,38407,0
41402,41357,40343,39780,39092,38429,0
41399,41450,40386,39824,39127,38453,0
41014,41520,40452,39868,39162,38479,0
40987,41510,40476,39902,39196,38508,0
40906,41425,40432,39890,39201,38518,0
40798,41328,40372,39848,39179,38509,0
41214,41311,40346,39826,39164,38502,0
41559,41306,40346,39821,39157,38496,0
41559,41366,40365,39822,39155,38491,0
41420,41337,40351,39817,39148,38482,0
41334,41285,40314,39791,39129,38469,0
41406,41232,40271,39759,39104,38453,0
41328,41317,40308,39767,39103,38448,0
41181,41368,40346,39790,39110,38449,0
41095,41433,40396,39827,39135,38464,0
40986,41474,40444,39862,39165,38486,0
40953,41423,40437,39872,39180,38499,0
41010,41392,40409,39859,39178,38503,0
41058,41330,40362,39831,39157,38492,0
41106,41323,40341,39810,39143,38483,0
41113,41313,40331,39798,39126,38468,0
41091,41282,40310,39779,39107,38454,0
41017,41296,40295,39765,39095,38439,0
41016,41344,40335,39782,39102,38442,0
41118,41360,40348,39798,39115,38449,0
41302,41356,40359,39812,39130,38460,0
41616,41302,40331,39802,39126,38464,0
41376,41288,40307,39781,39113,38452,0
40764,41405,40364,39801,39117,38450,0
40497,41504,40442,39858,39154,38475,0
40678,41458,40434,39878,39180,38498,0
40966,41375,40396,39860,39179,38502,0
41071,41354,40373,39843,39173,38504,0
41089,41325,40347,39822,39158,38493,0
41241,41314,40335,39812,39147,38490,0
41354,41329,40335,39808,39145,38485,0
41219,41401,40382,39831,39152,38488,0
41050,41410,40407,39850,39168,38495,0
41111,41440,40421,39867,39182,38507,0
41284,41347,40379,39847,39177,38510,0
41307,41342,40361,39830,39164,38501,0
41256,41370,40369,39828,39158,38497,0
41166,41377,40379,39829,39154,38492,0
41123,41363,40375,39827,39149,38488,0
41074,41386,40394,39838,39154,38490,0
41084,41408,40396,39844,39158,38485,0
41177,41374,40385,39837,39158,38485,0
41173,41361,40372,39830,39153,38480,0
41218,41318,40341,39810,39142,38474,0
41295,41279,40310,39786,39122,38459,0
41268,41273,40297,39772,39105,38448,0
41154,41284,40313,39772,39100,38440,0
41182,41306,40320,39778,39101,38440,0
41186,41284,40300,39767,39094,38435,0
41209,41290,40299,39768,39095,38436,0
41243,41277,40292,39765,39092,38434,0
41239,41278,40295,39762,39091,38437,0
41195,41282,40293,39762,39089,38435,0
41121,41289,40298,39764,39092,38437,0
41023,41340,40323,39778,39101,38441,0
40989,41346,40339,39791,39115,38453,0
41050,41328,40341,39799,39124,38464,0
41245,41359,40357,39812,39136,38475,0
41398,41348,40357,39816,39144,38482,0
41265,41360,40362,39818,39145,38484,0
41288,41289,40326,39801,39137,38482,0
41389,41252,40295,39774,39116,38468,0
41300,41302,40314,39776,39109,38462,0
41061,41408,40377,39814,39127,38472,0
