CH1,CH2,CH3,CH4,CH5,CH6,label,type
40914,41119,40751,40979,41833,41154,0,train
40917,41126,40692,40978,42017,41160,0,train
40920,41121,40664,40977,42133,41161,0,train
40915,41116,40627,40989,42195,41174,0,train
40911,41113,40630,40984,42201,41186,0,train
40916,41121,40642,40992,42170,41172,0,train
40910,41115,40670,40985,42101,41155,0,train
40906,41129,40685,40972,42000,41162,0,train
40909,41122,40737,40984,41869,41155,0,train
40907,41113,40781,40974,41723,41159,0,train
40899,41128,40872,40982,41415,41138,0,train
40907,41118,40979,40960,40257,41134,0,train
40910,41122,41228,40956,38652,41109,0,train
40910,41123,41746,40942,38484,41092,0,train
40908,41122,42345,40934,39120,41085,0,train
40908,41141,42447,40903,39736,41083,0,train
40912,41126,42015,40909,40298,41091,0,train
40909,41126,41345,40913,40913,41118,0,train
40897,41119,40734,40954,41328,41152,0,train
40908,41124,39901,41010,41898,41200,0,train
40904,41123,39340,41053,42452,41204,0,train
40913,41126,39984,41019,42509,41178,0,train
40908,41116,40953,40984,42385,41153,0,train
40915,41121,41478,40961,41588,41121,0,train
40904,41126,41637,40952,40297,41118,0,train
40913,41133,41643,40941,39675,41105,0,train
40902,41138,41572,40943,39691,41124,0,train
40900,41118,41421,40940,39991,41101,0,train
40906,41127,41265,40934,40412,41128,0,train
40906,41130,41102,40952,40854,41144,0,train
40911,41121,40933,40950,41255,41152,0,train
40906,41123,40802,40968,41614,41159,0,train
40901,41128,40708,40969,41883,41168,0,train
40912,41137,40627,40982,42083,41160,0,train
40910,41122,40591,40994,42213,41178,0,train
40908,41133,40566,40987,42284,41175,0,train
40906,41122,40575,40983,42277,41174,0,train
40916,41127,40584,40995,42246,41177,0,train
40905,41129,40607,40986,42161,41164,0,train
40897,41112,40653,40985,42052,41161,0,train
40908,41129,40697,40994,41924,41164,0,train
40902,41125,40750,40988,41760,41160,0,train
40915,41121,40843,40989,41371,41147,0,train
40908,41130,40997,40971,39891,41132,0,train
40913,41136,41310,40945,38470,41111,0,train
40904,41123,41985,40937,38540,41095,0,train
40913,41131,42604,40899,39193,41083,0,train
40925,41153,42567,40879,39778,41058,0,train
40913,41134,41966,40866,40364,41057,0,train
40921,41128,41320,40923,40761,41085,0,train
40906,41122,40753,41002,41102,41160,0,train
40914,41116,39881,41076,41809,41223,0,train
40913,41111,39244,41069,42412,41237,0,train
40906,41122,39770,41035,42490,41201,0,train
40923,41114,40855,40976,42428,41144,0,train
40917,41133,41519,40962,41782,41126,0,train
40909,41124,41731,40946,40410,41113,0,train
40923,41129,41749,40923,39616,41098,0,train
40915,41118,41650,40940,39598,41108,0,train
40910,41143,41495,40927,39918,41112,0,train
40914,41124,41300,40947,40339,41133,0,train
40903,41129,41101,40954,40825,41127,0,train
40934,41120,40932,40973,41264,41154,0,train
40916,41127,40770,40987,41645,41175,0,train
40914,41122,40647,40998,41949,41172,0,train
40905,41113,40578,40992,42153,41176,0,train
40909,41132,40507,41003,42294,41174,0,train
40907,41116,40499,40999,42381,41177,0,train
40916,41121,40502,41004,42377,41176,0,train
40911,41105,40509,41020,42335,41174,0,train
40902,41115,40531,40997,42247,41173,0,train
40913,41121,40587,40993,42122,41174,0,train
40902,41121,40649,40992,41980,41174,0,train
40905,41127,40697,40999,41793,41164,0,train
40913,41121,40813,40972,41229,41144,0,train
40909,41126,41016,40970,39510,41127,0,train
40914,41125,41486,40957,38245,41115,0,train
40914,41132,42362,40916,38465,41089,0,train
40910,41132,42754,40905,39284,41061,0,train
40920,41138,42504,40852,39937,41037,0,train
40908,41139,42016,40810,40354,41044,0,train
40899,41134,41326,40886,40772,41095,0,train
40914,41125,40645,41013,41122,41180,0,train
40897,41111,39813,41122,41753,41260,0,train
40905,41116,39249,41106,42245,41230,0,train
40928,41123,39602,41032,42408,41192,0,train
40914,41118,40721,40976,42428,41145,0,train
40914,41125,41568,40940,41860,41113,0,train
40901,41124,41859,40921,40548,41106,0,train
40906,41136,41853,40912,39636,41102,0,train
40916,41129,41744,40918,39526,41102,0,train
40901,41127,41572,40922,39851,41113,0,train
40912,41124,41337,40936,40290,41124,0,train
40907,41131,41113,40961,40805,41126,0,train
40916,41130,40914,40968,41268,41158,0,train
40906,41135,40741,40981,41686,41162,0,train
40916,41126,40608,40989,42018,41176,0,train
40912,41118,40493,40995,42242,41162,0,train
40908,41121,40435,41010,42398,41186,0,train
40906,41129,40413,41013,42466,41191,0,train
40917,41125,40400,40999,42474,41176,0,train
40913,41126,40425,41006,42426,41180,0,train
40925,41122,40446,41001,42338,41176,0,train
40917,41120,40520,41004,42205,41180,0,train
40904,41129,40581,41013,42049,41166,0,train
40915,41130,40650,41000,41824,41142,0,train
40913,41122,40787,40986,41109,41142,0,train
40912,41124,41009,40970,39296,41127,0,train
40922,41127,41608,40947,38183,41100,0,train
40912,41136,42556,40910,38568,41073,0,train
40908,41142,42878,40875,39352,41054,0,train
40907,41139,42497,40829,39963,41022,0,train
40905,41136,41961,40769,40373,41027,0,train
40912,41128,41292,40865,40780,41101,0,train
40909,41121,40664,41034,41091,41187,0,train
40910,41112,39830,41168,41658,41267,0,train
40924,41116,39224,41146,42173,41249,0,train
40898,41110,39524,41042,42324,41203,0,train
40899,41129,40693,40964,42361,41145,0,train
40918,41123,41612,40933,41881,41101,0,train
40909,41130,41919,40915,40593,41093,0,train
40912,41148,41946,40904,39617,41087,0,train
40920,41127,41829,40903,39477,41098,0,train
40912,41127,41633,40913,39788,41106,0,train
40916,41124,41383,40933,40253,41115,0,train
40902,41115,41127,40938,40757,41136,0,train
40905,41132,40909,40969,41265,41143,0,train
40916,41124,40726,40991,41685,41170,0,train
40907,41116,40566,40986,42027,41185,0,train
40921,41131,40460,40993,42276,41181,0,train
40912,41127,40406,41004,42426,41201,0,train
40909,41116,40373,41018,42495,41186,0,train
40910,41113,40380,41014,42516,41184,0,train
40907,41119,40384,41009,42470,41185,0,train
40902,41126,40429,41014,42377,41175,0,train
40905,41116,40498,41011,42227,41177,0,train
40910,41113,40557,41004,42076,41186,0,train
40908,41116,40642,41007,41833,41177,0,train
40915,41139,40772,40992,41031,41145,0,train
40914,41121,41031,40983,39158,41120,0,train
40907,41128,41696,40946,38224,41093,0,train
40900,41147,42693,40898,38641,41059,0,train
40904,41146,42886,40834,39398,41042,0,train
40913,41130,42448,40786,39935,41019,0,train
40897,41126,41902,40767,40369,41019,0,train
40916,41133,41276,40844,40818,41077,0,train
40913,41130,40697,41026,41096,41184,0,train
40900,41112,39780,41202,41682,41298,0,train
40899,41126,39256,41165,42109,41250,0,train
40904,41118,39560,41054,42293,41196,0,train
40909,41130,40703,40958,42339,41134,0,train
40900,41117,41640,40910,41858,41104,0,train
40907,41124,41965,40891,40548,41095,0,train
40904,41128,41972,40886,39575,41088,0,train
40905,41136,41860,40894,39454,41095,0,train
40918,41124,41645,40901,39777,41102,0,train
40908,41124,41381,40927,40250,41112,0,train
40914,41133,41125,40943,40771,41137,0,train
40915,41116,40910,40959,41270,41147,0,train
40908,41111,40721,40982,41705,41167,0,train
40914,41128,40579,40989,42038,41172,0,train
40916,41128,40450,41004,42285,41188,0,train
40906,41120,40386,41014,42437,41195,0,train
40921,41120,40354,41032,42513,41195,0,train
40910,41117,40354,41028,42513,41191,0,train
40913,41105,40383,41021,42477,41194,0,train
40908,41128,40416,41017,42383,41182,0,train
40913,41108,40467,41026,42240,41174,0,train
40917,41119,40537,41011,42064,41166,0,train
40897,41128,40633,41017,41832,41157,0,train
40906,41127,40756,40999,40973,41152,0,train
40901,41137,41026,40981,39111,41112,0,train
40924,41125,41755,40960,38153,41082,0,train
40910,41138,42720,40920,38623,41061,0,train
40906,41144,42918,40858,39431,41027,0,train
40919,41134,42430,40803,40066,41000,0,train
40897,41132,41815,40790,40487,41021,0,train
40921,41121,41235,40888,40761,41092,0,train
40913,41115,40630,41052,41041,41209,0,train
40924,41102,39768,41178,41632,41307,0,train
40906,41101,39260,41136,42123,41268,0,train
40919,41125,39617,41026,42313,41182,0,train
40921,41125,40776,40951,42343,41132,0,train
40909,41126,41676,40925,41820,41096,0,train
40914,41132,41992,40897,40494,41090,0,train
40917,41126,41976,40891,39563,41101,0,train
40904,41117,41855,40899,39453,41078,0,train
40915,41130,41638,40914,39783,41098,0,train
40912,41130,41388,40925,40268,41124,0,train
40910,41130,41133,40938,40796,41144,0,train
40916,41124,40914,40954,41282,41157,0,train
40920,41120,40715,40970,41715,41167,0,train
40910,41126,40564,40985,42049,41179,0,train
40912,41125,40457,40989,42286,41192,0,train
40915,41125,40396,41004,42445,41190,0,train
40907,41113,40356,41010,42515,41188,0,train
40914,41111,40365,41005,42516,41199,0,train
40912,41117,40382,41020,42465,41191,0,train
40916,41124,40417,41014,42379,41191,0,train
40907,41128,40466,40998,42230,41180,0,train
40900,41125,40568,41013,42064,41179,0,train
40918,41116,40637,40997,41828,41170,0,train
40919,41120,40770,40997,41005,41141,0,train
40911,41125,41039,40966,39070,41114,0,train
40905,41126,41678,40951,38259,41104,0,train
40917,41129,42587,40911,38710,41069,0,train
40903,41138,42856,40860,39415,41045,0,train
40913,41136,42447,40804,40011,41027,0,train
40922,41127,41760,40837,40508,41053,0,train
40906,41126,41211,40887,40795,41101,0,train
40906,41123,40696,41020,41021,41187,0,train
40918,41110,39736,41169,41766,41271,0,train
40914,41122,39220,41121,42238,41252,0,train
40906,41127,39761,41029,42272,41173,0,train
40916,41121,40918,40960,42252,41132,0,train
40920,41122,41697,40929,41716,41107,0,train
40904,41121,41952,40922,40364,41097,0,train
40912,41134,41937,40902,39510,41096,0,train
40923,41135,41814,40894,39485,41093,0,train
40913,41134,41617,40921,39830,41108,0,train
40903,41126,41376,40926,40290,41105,0,train
40904,41130,41126,40950,40806,41140,0,train
40902,41121,40910,40959,41289,41147,0,train
40917,41111,40731,40980,41694,41175,0,train
40918,41114,40599,40986,42028,41185,0,train
40914,41114,40499,40996,42253,41181,0,train
40917,41117,40438,41008,42404,41183,0,train
40918,41120,40409,41004,42462,41192,0,train
40908,41124,40392,41022,42480,41178,0,train
40916,41121,40429,41017,42426,41185,0,train
40925,41132,40468,41002,42341,41185,0,train
40909,41113,40509,41014,42220,41170,0,train
40901,41125,40579,41008,42030,41170,0,train
40914,41126,40649,41000,41802,41164,0,train
40916,41115,40814,40985,40927,41138,0,train
40908,41126,41051,40971,39104,41112,0,train
40907,41127,41692,40955,38245,41090,0,train
40910,41142,42613,40919,38639,41072,0,train
40902,41130,42915,40870,39343,41040,0,train
40911,41128,42405,40819,40048,41033,0,train
40919,41129,41774,40815,40509,41044,0,train
40916,41130,41251,40877,40780,41100,0,train
40913,41127,40577,41044,41213,41205,0,train
40924,41114,39672,41150,41841,41277,0,train
40898,41109,39211,41108,42219,41246,0,train
40923,41128,39745,41016,42237,41184,0,train
40917,41130,40894,40961,42298,41140,0,train
40912,41113,41685,40940,41722,41112,0,train
40910,41124,41937,40914,40342,41095,0,train
40904,41118,41927,40909,39521,41075,0,train
40908,41123,41796,40910,39504,41097,0,train
40915,41138,41587,40917,39850,41112,0,train
40906,41130,41332,40925,40340,41126,0,train
40915,41117,41116,40946,40846,41142,0,train
40913,41124,40898,40963,41336,41157,0,train
40921,41128,40712,40983,41741,41173,0,train
40901,41125,40575,40984,42064,41178,0,train
40907,41115,40470,40990,42278,41173,0,train
40914,41117,40415,40998,42427,41181,0,train
40902,41126,40383,41002,42509,41194,0,train
40917,41120,40394,41020,42500,41191,0,train
40909,41118,40406,41009,42441,41182,0,train
40920,41125,40444,41014,42356,41180,0,train
40897,41131,40509,41007,42216,41181,0,train
40915,41113,40566,41010,42041,41179,0,train
40911,41113,40648,40995,41794,41160,0,train
40915,41118,40797,40988,40917,41139,0,train
40914,41127,41061,40968,38994,41127,0,train
40902,41130,41710,40941,38263,41087,0,train
40912,41123,42612,40914,38742,41074,0,train
40907,41127,42834,40868,39435,41061,0,train
40915,41130,42379,40833,40026,41043,0,train
40913,41143,41734,40843,40496,41052,0,train
40909,41129,41175,40918,40807,41101,0,train
40910,41121,40643,41037,41111,41191,0,train
40902,41116,39690,41129,41850,41264,0,train
40914,41111,39186,41099,42298,41243,0,train
40917,41124,39825,41014,42325,41170,0,train
40897,41121,40997,40960,42304,41130,0,train
40918,41137,41711,40925,41595,41112,0,train
40926,41123,41941,40921,40222,41108,0,train
40902,41126,41932,40918,39476,41093,0,train
40904,41119,41780,40908,39510,41105,0,train
40909,41125,41583,40917,39864,41117,0,train
40903,41145,41340,40948,40354,41124,0,train
40916,41130,41107,40946,40862,41149,0,train
40925,41122,40901,40968,41331,41149,0,train
40912,41117,40719,40979,41752,41170,0,train
40899,41124,40589,40991,42041,41177,0,train
40911,41123,40500,40990,42280,41181,0,train
40908,41113,40438,40996,42410,41182,0,train
40917,41112,40419,41015,42474,41186,0,train
40912,41118,40407,41000,42475,41186,0,train
40912,41120,40427,41006,42426,41185,0,train
40916,41124,40474,41009,42303,41187,0,train
40907,41121,40529,41004,42196,41180,0,train
40910,41116,40595,40997,42007,41166,0,train
40904,41110,40667,40998,41783,41169,0,train
40920,41125,40802,40984,40898,41156,0,train
40909,41125,41051,40973,39038,41114,0,train
40916,41131,41737,40950,38202,41094,0,train
40920,41133,42595,40918,38745,41079,0,train
40909,41149,42820,40869,39479,41052,0,train
40903,41140,42384,40827,40053,41037,0,train
40901,41129,41744,40828,40483,41063,0,train
40909,41131,41115,40906,40876,41120,0,train
40909,41130,40485,41032,41266,41196,0,train
40913,41109,39669,41120,41828,41260,0,train
40913,41107,39267,41097,42246,41235,0,train
40898,41106,39919,41021,42304,41171,0,train
40907,41127,41042,40963,42265,41137,0,train
40916,41134,41724,40939,41545,41114,0,train
40911,41122,41917,40905,40197,41094,0,train
40907,41128,41886,40899,39511,41094,0,train
40913,41126,41750,40909,39540,41108,0,train
40905,41140,41541,40922,39906,41116,0,train
40913,41125,41319,40924,40377,41121,0,train
40917,41131,41082,40952,40889,41152,0,train
40913,41117,40882,40958,41352,41149,0,train
40914,41118,40705,40973,41754,41168,0,train
40913,41129,40583,40981,42046,41166,0,train
40903,41130,40493,40990,42278,41183,0,train
40912,41124,40432,40993,42415,41173,0,train
40923,41115,40412,41027,42458,41178,0,train
40926,41121,40415,41011,42463,41186,0,train
40899,41115,40431,41008,42402,41174,0,train
40919,41141,40479,41002,42284,41169,0,train
40908,41124,40536,41014,42165,41177,0,train
40917,41122,40601,41003,42005,41173,0,train
40905,41119,40681,41011,41724,41159,0,train
40913,41126,40817,40988,40793,41142,0,train
40917,41127,41088,40972,38944,41121,0,train
40907,41136,41769,40954,38240,41090,0,train
40912,41136,42704,40904,38703,41053,0,train
40909,41130,42825,40883,39473,41048,0,train
40921,41144,42311,40844,40114,41026,0,train
40918,41137,41692,40829,40569,41060,0,train
40922,41127,41123,40909,40884,41120,0,train
40910,41115,40438,41058,41254,41209,0,train
40912,41107,39598,41131,41914,41259,0,train
40904,41124,39323,41078,42200,41229,0,train
40904,41117,39951,41031,42299,41182,0,train
40921,41118,41037,40972,42291,41131,0,train
40907,41132,41722,40924,41531,41099,0,train
40916,41120,41915,40911,40185,41102,0,train
40908,41124,41887,40916,39510,41103,0,train
40907,41118,41753,40915,39551,41105,0,train
40900,41132,41554,40915,39929,41117,0,train
40922,41131,41316,40927,40391,41133,0,train
40906,41124,41079,40945,40918,41145,0,train
40910,41125,40869,40966,41378,41155,0,train
40920,41115,40688,40976,41761,41165,0,train
40905,41117,40560,40991,42074,41184,0,train
40914,41115,40480,40988,42286,41181,0,train
40914,41126,40438,41007,42416,41184,0,train
40918,41115,40410,40997,42474,41183,0,train
40933,41112,40404,41019,42474,41178,0,train
40910,41110,40439,40998,42414,41180,0,train
40908,41124,40480,41001,42307,41171,0,train
40906,41123,40525,41006,42173,41179,0,train
40899,41118,40597,41003,42003,41154,0,train
40902,41126,40672,40978,41738,41157,0,train
40912,41130,40833,40986,40744,41141,0,train
40916,41122,41101,40970,38900,41107,0,train
40919,41128,41820,40938,38265,41094,0,train
40913,41130,42731,40888,38739,41058,0,train
40910,41150,42786,40860,39483,41034,0,train
40909,41134,42304,40831,40078,41038,0,train
40912,41125,41763,40812,40476,41043,0,train
40905,41129,41153,40918,40857,41120,0,train
40915,41108,40426,41075,41248,41207,0,train
40912,41114,39599,41146,41897,41259,0,train
40913,41121,39287,41091,42254,41225,0,train
40913,41122,39902,41002,42343,41175,0,train
40913,41124,41047,40949,42289,41128,0,train
40912,41130,41739,40924,41491,41100,0,train
40902,41132,41941,40912,40147,41099,0,train
40913,41133,41902,40910,39478,41094,0,train
40901,41117,41764,40910,39531,41093,0,train
40908,41145,41552,40924,39916,41110,0,train
40907,41124,41308,40940,40400,41125,0,train
40914,41135,41067,40957,40915,41149,0,train
40906,41123,40860,40956,41380,41153,0,train
40907,41132,40695,40971,41773,41168,0,train
